name,age,positon,height,weight,appearance,minPlayed,tackles,inter,fouls,offsides,clear,drb,blocks,ownG,rating
"1
Exequiel Palacios
25, M(C)",25,", M(C)",176,69,21(3),1841,2.5,1.2,0.7,-,0.8,1.1,-,-,7.32
"2
Josip Stanisic
24, D(CR),M(R)",24,", D(CR),M(R)",178,76,13(7),1257,1.9,0.5,0.3,0.1,1.1,0.6,0.2,-,6.94
"3
Álex Grimaldo
28, D(L),M(L)",28,", D(L),M(L)",171,63,31(2),2787,1.4,0.7,0.4,0.1,1.1,0.8,0.2,-,7.58
"4
Odilon Kossounou
23, D(CR)",23,", D(CR)",191,79,21(1),1813,1.4,1.2,0.8,0.1,1.8,0.5,0.1,-,6.92
"5
Piero Hincapié
22, D(CL),M(L)",22,", D(CL),M(L)",184,77,16(10),1484,1.3,0.5,0.6,0.3,1.6,0.2,0.3,-,6.74
"6
Edmond Tapsoba
25, D(C)",25,", D(C)",194,85,23(5),2085,1.2,0.9,0.9,0.2,1.8,0.3,0.4,-,6.78
"7
Robert Andrich
29, D(C),M(C)",29,", D(C),M(C)",187,83,18(10),1683,1.1,0.7,0.8,0.1,0.6,0.4,0.1,-,6.88
"8
Arthur
21, Defender",21,", Defender",173,70,2(2),184,1,-,0.5,-,1.3,-,0.3,-,6.92
"9
Granit Xhaka
31, D(L),M(C)",31,", D(L),M(C)",186,80,32(1),2828,0.9,0.6,0.9,0.1,1.2,0.6,0.2,-,7.13
"10
Florian Wirtz
21, AM(CL),FW",21,", AM(CL),FW",176,70,26(6),2384,0.8,0.3,0.7,-,0.1,0.6,0.1,-,7.50
"11
Jeremie Frimpong
23, D(R),M(R)",23,", D(R),M(R)",171,63,27(4),2265,0.8,0.2,0.7,-,0.5,0.4,-,-,7.08
"12
Gustavo Puerta
20, Midfielder",20,", Midfielder",172,73,0(7),40,0.7,-,0.3,-,-,0.1,-,-,6.20
"13
Amine Adli
24, AM(CLR),FW",24,", AM(CLR),FW",174,72,8(15),892,0.7,0.3,0.6,-,0.2,0.4,0.1,-,6.78
"14
Jonas Hofmann
31, D(R),M(CLR),FW",31,", D(R),M(CLR),FW",176,73,26(6),2215,0.6,0.3,0.4,-,0.1,0.4,-,-,7.11
"15
Jonathan Tah
28, D(C)",28,", D(C)",195,94,30(1),2633,0.6,0.7,1.1,0.2,3.1,0.4,0.7,-,6.96
"16
Nathan Tella
24, M(CLR),FW",24,", M(CLR),FW",173,70,8(16),811,0.5,0.1,0.5,0.1,0.3,0.2,-,-,6.62
"17
Nadiem Amiri
27, M(CLR)",27,", M(CLR)",180,77,1(7),83,0.5,-,0.1,-,0.1,0.4,-,-,6.16
"18
Adam Hlozek
21, AM(CL),FW",21,", AM(CL),FW",188,84,5(18),451,0.4,0.1,0.3,-,-,0.2,-,-,6.32
"19
Patrik Schick
28, AM(R),FW",28,", AM(R),FW",191,87,12(8),1065,0.3,0.1,0.6,-,0.4,0.2,-,-,6.76
"20
Victor Boniface
23, FW",23,", FW",189,91,18(5),1554,0.3,-,0.7,-,0.6,0.1,-,-,7.49
"21
Borja Iglesias
31, FW",31,", FW",187,86,2(5),252,0.1,0.1,0.3,-,0.1,0.1,-,-,6.35
"22
Lukás Hrádecky
34, GK",34,", GK",192,83,33,2970,-,-,-,-,0.5,-,-,-,6.78
"23
Matej Kovár
24, GK",24,", GK",196,88,1,90,-,-,-,-,-,-,-,-,7.33
"24
Noah Mbamba
19, Midfielder",19,", Midfielder",187,75,0(3),14,-,0.3,0.3,-,-,-,-,-,6.27
